名称,状态,最优步数,类型
new6631,18034577435153308L,38,28
new10521,19158278352556956L,19,28
new5202,18085061855400848L,-1,16
new550,581730347889566L,26,30
new10216,19158269762622364L,20,28
new1748,18366519652766608L,71,16
new3585,22010068157620344L,6,24
new3572,18085061856187280L,60,16
new5690,19703525775610512L,38,16
new5735,18366519653028752L,72,16
new5278,18015826982572688L,29,16
new2218,1144088140043166L,38,30
new3327,21410010485854622L,6,30
new5666,19703525775348368L,39,16
new4402,19704420200207260L,-1,28
new4097,20283834659918736L,-1,16
new7823,21974367013769628L,3,28
new10197,10151070506832796L,22,28
new5338,19704420200469404L,-1,28
new2806,2269721229374366L,-1,30
new3868,21965031844122014L,2,30
new3723,21675293677228444L,6,28
new144,11276901695247260L,5,28
new2197,21956768653939100L,7,28
new8847,20830320107246492L,16,28
new3750,21683556884188318L,1,30
new5719,21409744196833694L,5,30
new77,20284376874259103L,6,31
new4741,20283834659918744L,11,24
new3730,21675293677490588L,6,28
new3328,21409735606899102L,6,30
new5230,19704437379552158L,-1,30
new2278,651258365784976L,75,16
new2204,21956768654201244L,6,28
new5880,20830320106984348L,16,28
new2151,651258365850512L,74,16
new1053,20847849747075992L,12,24
new9903,21675259317752216L,18,24
new9760,21956734294462872L,19,24
new10594,1143888430912412L,37,28
new4068,20283834658870160L,-1,16
new6304,22010068166271128L,4,24
new7824,21974367014818204L,4,28
new4936,20847849747403672L,8,24
new10224,10151070507881372L,21,28
new8702,1143888431371164L,36,28
new10572,19724148830262168L,57,24
new132,11276901694198684L,5,28
new444,18297595064341376L,-1,0
new6592,22010033806532760L,3,24
new9629,20839054728530840L,18,24
new956,21956751473611166L,-1,30
new4843,20830834420454302L,-1,30
new4546,20847884107142040L,7,24
new7383,19724148830000024L,56,24
new958,21675276496900510L,-1,30
new2933,20549359443743646L,-1,30
new895,651258366899088L,74,16
new1043,20557579768597144L,9,24
new3490,20267884483809950L,-1,30
new10485,19157934755173272L,12,24
new3939,18015586465190552L,25,24
new8532,18015586448413592L,23,24
new5352,11276901693608860L,3,28
new8475,18016120089727900L,41,28
new10612,1143888431960988L,38,28
new3397,3951164399889276L,6,28
new3355,21482361548719932L,48,28
new3756,18016120089727896L,25,24
new7326,20566374773838744L,8,24
new7590,18016120089465756L,41,28
new9139,18015586465190556L,50,28
new4942,20847849750549400L,7,24
new6416,21676393951971134L,42,30
new1108,19442673856697240L,65,24
new11673,18387141620028312L,91,24
new3120,18015586464404124L,23,28
new3111,18668616596738968L,90,24
new10577,19724148833407896L,64,24
new117,11276901693150108L,4,28
new3873,18016137268810654L,29,30
new10265,20284934156866456L,9,24
new6093,19442673856435096L,66,24
new6996,20566409133577112L,9,24
new8207,18387141620290456L,92,24
new4553,20847884110287768L,8,24
new5729,18668616597001112L,91,24
new9554,19724148833145752L,65,24
new7738,18016119033795228L,25,28
new10653,1143888433009564L,38,28
new1799,581988045927324L,27,28
new10169,10151070505784220L,22,28
new8404,21973748549489048L,3,24
new3622,18668616595690392L,89,24
new11222,22001503741700472L,4,24
new8402,21973748549226904L,4,24
new8051,10151070506242972L,25,28
new957,21956751475708318L,6,30
new3330,21409735607947678L,7,30
new3204,22010300086116472L,6,24
new5728,18668616595952536L,90,24
new959,21675276498997662L,7,30
new974,21393801522287006L,7,30
new4177,3943487582291614L,-1,30
new2206,21955325563015568L,43,16
new6391,3380538182526878L,-1,30
new3403,3951164399889308L,6,28
new372,3662012622358430L,-1,30
new370,20284101996876447L,6,31
new6079,2834060586136476L,-1,28
new4878,618005646905752L,-1,24
new1159,20829426763486096L,38,16
new2205,20829425656172944L,42,16
new3751,20829425689727888L,42,16
new8634,10151345384739740L,23,28
new6299,2269446343013278L,-1,30
new6396,3380538182264734L,-1,30
new2430,1708171954344862L,-1,30
new6347,2269446343078814L,-1,30
new467,2269446343013279L,6,31
new5162,1708180543755166L,-1,30
new609,21401489294265152L,9,0
new5216,11277176573154204L,6,28
new1692,20547986146513808L,37,16
new4040,20547985072755600L,44,16
new8433,21974092136386972L,3,28
new387,20830560617026432L,-1,0
new1160,20829461123224464L,37,16
new3752,20829460049466256L,43,16
new1434,19423185733538704L,-1,16
new8115,1144163308819356L,38,28
new1601,19704660710249360L,-1,16
new5356,19423185733276560L,-1,16
new4556,20848116026987416L,5,24
new6652,2834060587185052L,-1,28
new4597,1144122507121566L,-1,30
new5333,19704660709987216L,-1,16
new2856,20848116026921880L,6,24
new6655,2552585610474396L,-1,28
new3729,21964954635373400L,5,24
new3880,20549085640053648L,34,16
new1118,19442673849357208L,66,24
new10301,1144163309278108L,36,28
new3835,20830560616764304L,35,16
new10583,19724148826067864L,65,24
new11214,22001503741700504L,4,24
new5187,11277176572105628L,6,28
new11636,21683479675439704L,4,24
new2737,1144131096531870L,-1,30
new4127,2869734593532312L,8,24
new6588,22010033806532696L,2,24
new1391,20549085640315792L,34,16
new8209,18387141612950424L,91,24
new8434,21974092137435548L,4,28
new1499,20830560617026448L,35,16
new3852,22010300086116504L,6,24
new5735,18668616589661080L,90,24
new1772,19422086241833872L,33,16
new5423,19422085168075664L,40,16
